10:40:26.581978 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 221
10:40:26.592153 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 222
10:40:26.602305 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 223
10:40:26.612447 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 224
10:40:26.622585 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 225
10:40:26.632756 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 226
10:40:26.642911 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 227
10:40:26.653070 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 228
10:40:26.663226 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 229
10:40:26.673378 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 230
10:40:26.683533 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 231
10:40:26.693684 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 232
10:40:26.703840 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 233
10:40:26.713977 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 234
10:40:26.724131 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 235
10:40:26.734286 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 236
10:40:26.744438 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 237
10:40:26.754591 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 238
10:40:26.764754 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 239
10:40:26.774892 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 240
10:40:26.785048 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 241
10:40:26.795206 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 242
10:40:26.805361 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 243
10:40:26.815516 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 244
10:40:26.825669 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 245
10:40:26.835822 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 246
10:40:26.845979 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 247
10:40:26.856156 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 248
10:40:26.866309 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 249
10:40:26.876445 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 250
10:40:26.886602 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 251
10:40:26.896757 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 252
10:40:26.906910 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 253
10:40:26.917064 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 254
10:40:26.927217 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 255
10:40:26.937370 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 256
10:40:26.947527 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 257
10:40:26.957679 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 258
10:40:26.967834 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 259
10:40:26.977996 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 260
10:40:26.988134 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 261
10:40:26.998291 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 262
10:40:27.008465 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 263
10:40:27.018619 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 264
10:40:27.028776 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 265
10:40:27.038931 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 266
10:40:27.049084 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 267
10:40:27.059238 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 268
10:40:27.069390 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 269
10:40:27.079547 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 270
10:40:27.089699 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 271
10:40:27.099854 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 272
10:40:27.110006 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 273
10:40:27.120163 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 274
10:40:27.130316 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 275
10:40:27.140469 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 276
10:40:27.150622 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 277
10:40:27.160777 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 278
10:40:27.170932 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 279
10:40:27.181088 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 280
10:40:27.191242 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 281
10:40:27.201390 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 282
10:40:27.211548 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 283
10:40:27.221703 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 284
10:40:27.231860 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 285
